timestamp,price,side,pnlUSD,equity
1761935778081,1.0007765333108865,"BUY",0,10000
1761935778146,1.0014569529412134,"SELL",9.800227242620156,10009.80022724262
1761935778636,1.0037160189983692,"BUY",0,10009.80022724262
1761935778702,1.0018416055168586,"SELL",8.361050599413051,10018.161277842033
1761935779057,1.0057173014412315,"BUY",0,10018.161277842033
1761935779281,1.0071006108995981,"SELL",10.193192038864877,10028.354469880898
1761935779346,1.0005984093530134,"BUY",0,10028.354469880898
1761935779346,1.0005984093530134,"SELL",9.416111111111121,10037.77058099201
1761935779463,1.0018600910931634,"BUY",0,10037.77058099201
1761935779632,1.0040118470509485,"SELL",10.629524442730624,10048.40010543474
1761935779811,0.9938838634057814,"BUY",0,10048.40010543474
1761935779977,0.9914139540802784,"SELL",8.012107595230942,10056.412213029971
1761935780622,0.9503393924565987,"BUY",0,10056.412213029971
1761935780848,0.9477364851168275,"SELL",7.868710366634527,10064.280923396605
1761935781029,0.9443987331223382,"BUY",0,10064.280923396605
1761935781573,0.9365266525465443,"SELL",4.706804579182987,10068.98772797579
1761935782293,0.9635859055257122,"BUY",0,10068.98772797579
1761935782347,0.964384677588145,"SELL",9.88444464209285,10078.872172617883
1761935782667,0.9583447218258206,"BUY",0,10078.872172617883
1761935782730,0.9528760023909867,"SELL",6.192172877124764,10085.064345495008
1761935783080,0.9454267553534088,"BUY",0,10085.064345495008
1761935783130,0.9530451724676212,"SELL",13.968713095263723,10099.033058590272
1761935783371,0.9462799515132697,"BUY",0,10099.033058590272
1761935783371,0.9462799515132697,"SELL",9.416111111111121,10108.449169701384
1761935783795,0.9618224786048211,"BUY",0,10108.449169701384
